Iter 1 Batch 160/3140: Error = 338.339325 ; Learning Rate = 0.001000	
Iter 1 Batch 161/3140: Error = 337.823242 ; Learning Rate = 0.001000	
Iter 1 Batch 162/3140: Error = 336.993896 ; Learning Rate = 0.001000	
Iter 1 Batch 163/3140: Error = 335.890625 ; Learning Rate = 0.001000	
Iter 1 Batch 164/3140: Error = 335.227600 ; Learning Rate = 0.001000	
Iter 1 Batch 165/3140: Error = 333.423798 ; Learning Rate = 0.001000	
Iter 1 Batch 166/3140: Error = 334.321289 ; Learning Rate = 0.001000	
Iter 1 Batch 167/3140: Error = 333.803436 ; Learning Rate = 0.001000	
Iter 1 Batch 168/3140: Error = 333.327606 ; Learning Rate = 0.001000	
Iter 1 Batch 169/3140: Error = 333.139465 ; Learning Rate = 0.001000	
Iter 1 Batch 170/3140: Error = 332.143677 ; Learning Rate = 0.001000	
Iter 1 Batch 171/3140: Error = 330.712036 ; Learning Rate = 0.001000	
Iter 1 Batch 172/3140: Error = 331.165558 ; Learning Rate = 0.001000	
Iter 1 Batch 173/3140: Error = 330.496307 ; Learning Rate = 0.001000	
Iter 1 Batch 174/3140: Error = 330.671326 ; Learning Rate = 0.001000	
Iter 1 Batch 175/3140: Error = 329.335114 ; Learning Rate = 0.001000	
Iter 1 Batch 176/3140: Error = 329.249329 ; Learning Rate = 0.001000	
Iter 1 Batch 177/3140: Error = 329.126038 ; Learning Rate = 0.001000	
Iter 1 Batch 178/3140: Error = 327.973114 ; Learning Rate = 0.001000	
Iter 1 Batch 179/3140: Error = 328.134827 ; Learning Rate = 0.001000	
Iter 1 Batch 180/3140: Error = 326.456482 ; Learning Rate = 0.001000	
Iter 1 Batch 181/3140: Error = 326.919006 ; Learning Rate = 0.001000	
Iter 1 Batch 182/3140: Error = 326.375275 ; Learning Rate = 0.001000	
Iter 1 Batch 183/3140: Error = 325.356506 ; Learning Rate = 0.001000	
Iter 1 Batch 184/3140: Error = 325.688110 ; Learning Rate = 0.001000	
Iter 1 Batch 185/3140: Error = 325.235413 ; Learning Rate = 0.001000	
Iter 1 Batch 186/3140: Error = 324.840271 ; Learning Rate = 0.001000	
Iter 1 Batch 187/3140: Error = 324.206787 ; Learning Rate = 0.001000	
Iter 1 Batch 188/3140: Error = 322.481079 ; Learning Rate = 0.001000	
Iter 1 Batch 189/3140: Error = 321.938354 ; Learning Rate = 0.001000	
Iter 1 Batch 190/3140: Error = 322.475403 ; Learning Rate = 0.001000	
Iter 1 Batch 191/3140: Error = 322.062805 ; Learning Rate = 0.001000	
Iter 1 Batch 192/3140: Error = 320.314850 ; Learning Rate = 0.001000	
Iter 1 Batch 193/3140: Error = 319.771545 ; Learning Rate = 0.001000	
Iter 1 Batch 194/3140: Error = 320.234711 ; Learning Rate = 0.001000	
Iter 1 Batch 195/3140: Error = 319.188873 ; Learning Rate = 0.001000	
Iter 1 Batch 196/3140: Error = 318.431122 ; Learning Rate = 0.001000	
Iter 1 Batch 197/3140: Error = 318.799133 ; Learning Rate = 0.001000	
Iter 1 Batch 198/3140: Error = 317.916931 ; Learning Rate = 0.001000	
Iter 1 Batch 199/3140: Error = 317.598236 ; Learning Rate = 0.001000	
Iter 1 Batch 200/3140: Error = 316.987244 ; Learning Rate = 0.001000	
Iter 1 Batch 201/3140: Error = 316.338745 ; Learning Rate = 0.001000	
Iter 1 Batch 202/3140: Error = 316.254120 ; Learning Rate = 0.001000	
Iter 1 Batch 203/3140: Error = 316.261902 ; Learning Rate = 0.001000	
Iter 1 Batch 204/3140: Error = 315.341980 ; Learning Rate = 0.001000	
Iter 1 Batch 205/3140: Error = 314.055939 ; Learning Rate = 0.001000	
Iter 1 Batch 206/3140: Error = 314.298157 ; Learning Rate = 0.001000	
Iter 1 Batch 207/3140: Error = 313.302429 ; Learning Rate = 0.001000	
Iter 1 Batch 208/3140: Error = 313.089722 ; Learning Rate = 0.001000	
Iter 1 Batch 209/3140: Error = 312.593842 ; Learning Rate = 0.001000	
Iter 1 Batch 210/3140: Error = 310.671570 ; Learning Rate = 0.001000	
Iter 1 Batch 211/3140: Error = 312.084015 ; Learning Rate = 0.001000	
Iter 1 Batch 212/3140: Error = 311.204773 ; Learning Rate = 0.001000	
Iter 1 Batch 213/3140: Error = 310.033386 ; Learning Rate = 0.001000	
Iter 1 Batch 214/3140: Error = 309.671112 ; Learning Rate = 0.001000	
Iter 1 Batch 215/3140: Error = 308.540283 ; Learning Rate = 0.001000	
Iter 1 Batch 216/3140: Error = 308.024811 ; Learning Rate = 0.001000	
Iter 1 Batch 217/3140: Error = 308.345886 ; Learning Rate = 0.001000	
